participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_mapType
"02ce6afc-1b09-4129-8384-3c31b2076996","participantTags","null","participantTags","undefined","undefined","undefined","undefined","undefined","undefined","undefined","[]","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","introduction","0","","completed","undefined","undefined","undefined","100.00","undefined","undefined","undefined","undefined","19837","19231","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","introduction","0","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":6,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":3}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","1","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","0","undefined","7231","7231","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","1","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","15","undefined","7231","7231","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","1","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":14,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","2","hexbin-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is Region A than Region B?","35","undefined","15917","15917","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","2","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","35","undefined","15917","15917","Hexbin"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-hexbin","2","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":11,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","3","spike-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","50","undefined","12384","12384","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","3","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","40","undefined","12384","12384","Spike"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-spike","3","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":3,""input"":4,""keydown"":4,""keyup"":3,""mousemove"":14,""mousedown"":3,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","4","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","25","undefined","9118","9118","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","4","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","20","undefined","9118","9118","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","4","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":13,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","5","bubble-response","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","How much larger is City A than City B?","0","undefined","6502","6502","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","5","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which city has a larger population.","undefined","10","undefined","6502","6502","Bubble"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-bubble","5","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":1,""keydown"":1,""keyup"":1,""mousemove"":25,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","6","choropleth-response","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","How much larger is State A than State B?","25","undefined","4572","4572","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","6","groundTruth","completed","undefined","undefined","undefined","100.00","Identify which region has a larger population.","undefined","10","undefined","4572","4572","Choropleth"
"02ce6afc-1b09-4129-8384-3c31b2076996","trial-choropleth","6","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":2,""input"":2,""keydown"":2,""keyup"":2,""mousemove"":20,""mousedown"":2,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined"
